patch,mesh,nearest_patch,nearest_mesh,same_mesh,token_cos,geometry_dist,normal_var,linearity,planarity,surface_var
98,shapenet/02691156/5e9129782c45b26992e39b8eae3e6b15,7,shapenet/04379243/862cf2d35bd106c55230ba3c88b645e3,0,0.7903974652290344,1.9294826984405518,0.2733631730079651,0.3901606798171997,0.24889600276947021,0.11278920620679855
99,shapenet/02691156/5e9129782c45b26992e39b8eae3e6b15,6,shapenet/04379243/862cf2d35bd106c55230ba3c88b645e3,0,0.8459959030151367,1.3410298824310303,0.5344502329826355,0.07486637681722641,0.36469292640686035,0.09529180824756622
100,shapenet/04379243/2f5d2dfc1c8b75666c8f2acb6194d7e9,40,shapenet/04379243/e94dcd39a8e438851b17743c18fb63dc,0,0.9497971534729004,2.4725329875946045,0.46089595556259155,0.0383140929043293,0.823743462562561,0.1730206161737442
101,shapenet/04379243/2f5d2dfc1c8b75666c8f2acb6194d7e9,102,shapenet/04379243/2f5d2dfc1c8b75666c8f2acb6194d7e9,1,0.9836426377296448,0.08226374536752701,0.5627768039703369,0.9652755856513977,0.009415448643267155,0.09380821883678436
102,shapenet/04379243/2f5d2dfc1c8b75666c8f2acb6194d7e9,101,shapenet/04379243/2f5d2dfc1c8b75666c8f2acb6194d7e9,1,0.9836426377296448,0.08226374536752701,0.5507503151893616,0.9742903709411621,0.002942010760307312,0.09359651058912277
103,shapenet/04379243/2f5d2dfc1c8b75666c8f2acb6194d7e9,60,shapenet/04379243/1c2fb38795e6e3c858df8eeaf3dad1c,0,0.8736475110054016,1.7703384160995483,0.4609713852405548,0.7158374190330505,0.034723445773124695,0.13482241332530975
104,shapenet/04330267/54b9ac27f2bae92627a11dcb35000f7a,78,shapenet/04379243/66a3fb3a480c2b9e7b22e9efea2f565,0,0.9975545406341553,1.4619814157485962,0.0021852219942957163,0.10313666611909866,0.8960666060447693,0.00812014751136303
105,shapenet/04330267/54b9ac27f2bae92627a11dcb35000f7a,49,shapenet/04379243/9fc9605f6ed5762553cc33364504d5,0,0.9861721992492676,1.1875983476638794,0.07152026146650314,0.1425231248140335,0.8269250392913818,0.03127329796552658
106,shapenet/04330267/54b9ac27f2bae92627a11dcb35000f7a,52,shapenet/04379243/8e3bfa092e83c28d55f46d55537192b6,0,0.9277784824371338,1.091798186302185,0.1974838227033615,0.25145599246025085,0.6257346868515015,0.05596970021724701
107,shapenet/04330267/54b9ac27f2bae92627a11dcb35000f7a,105,shapenet/04330267/54b9ac27f2bae92627a11dcb35000f7a,1,0.9622137546539307,2.716452121734619,0.27945393323898315,0.3213079571723938,0.5724604725837708,0.12125265598297119
108,shapenet/02691156/1b90541c9d95d65d2b48e2e94b50fd01,79,shapenet/04379243/66a3fb3a480c2b9e7b22e9efea2f565,0,0.8567463755607605,1.3365628719329834,0.46978893876075745,0.1025749146938324,0.47045573592185974,0.08288834989070892
109,shapenet/02691156/1b90541c9d95d65d2b48e2e94b50fd01,112,shapenet/04256520/2314a3400230f50d14038d588fd1342f,0,0.8253408670425415,2.287299633026123,0.6059028506278992,0.21452239155769348,0.48184406757354736,0.08007501065731049
